ward,zone,flood_incidents,claimed_swd_completion_pct,resident_reported_completion_pct,elevation_m,flood_watch_flag,monsoon_budget_inr,risk_priority_score
W001,North,5,60,55,2,Yes,2000000,71.5
W002,Central,16,67,59,7,No,2300000,77.0
W003,South,27,74,63,5,No,2600000,96.5
W004,West,8,81,67,3,No,2900000,56.0
W005,East,19,88,81,8,No,3200000,60.5
W006,North,30,60,50,6,No,3500000,115.0
W007,Central,11,67,54,4,Yes,3800000,88.5
W008,South,22,74,68,2,No,4100000,79.0
W009,West,33,81,72,7,No,4400000,98.5
W010,East,14,88,76,5,No,4700000,58.0
W011,North,25,60,55,3,No,2000000,97.5
W012,Central,6,67,59,8,No,2300000,57.0
W013,South,17,74,63,6,Yes,2600000,90.5
W014,West,28,81,67,4,No,2900000,96.0
W015,East,9,88,81,2,No,3200000,40.5
W016,North,20,60,50,7,No,3500000,95.0
W017,Central,31,67,54,5,No,3800000,114.5
W018,South,12,74,68,3,No,4100000,59.0
W019,West,23,81,72,8,Yes,4400000,92.5
W020,East,34,88,76,6,No,4700000,98.0
W021,North,15,60,55,4,No,2000000,77.5
W022,Central,26,67,59,2,No,2300000,97.0
W023,South,7,74,63,7,No,2600000,56.5
W024,West,18,81,67,5,No,2900000,76.0
W025,East,29,88,81,3,Yes,3200000,94.5
W026,North,10,60,50,8,No,3500000,75.0
W027,Central,21,67,54,6,No,3800000,94.5
W028,South,32,74,68,4,No,4100000,99.0
W029,West,13,81,72,2,No,4400000,58.5
W030,East,24,88,76,7,No,4700000,78.0
W031,North,5,60,55,5,Yes,2000000,71.5
W032,Central,16,67,59,3,No,2300000,77.0
W033,South,27,74,63,8,No,2600000,96.5
W034,West,8,81,67,6,No,2900000,56.0
W035,East,19,88,81,4,No,3200000,60.5
W036,North,30,60,50,2,No,3500000,115.0
W037,Central,11,67,54,7,Yes,3800000,88.5
W038,South,22,74,68,5,No,4100000,79.0
W039,West,33,81,72,3,No,4400000,98.5
W040,East,14,88,76,8,No,4700000,58.0
W041,North,25,60,55,6,No,2000000,97.5
W042,Central,6,67,59,4,No,2300000,57.0
W043,South,17,74,63,2,Yes,2600000,90.5
W044,West,28,81,67,7,No,2900000,96.0
W045,East,9,88,81,5,No,3200000,40.5
W046,North,20,60,50,3,No,3500000,95.0
W047,Central,31,67,54,8,No,3800000,114.5
W048,South,12,74,68,6,No,4100000,59.0
W049,West,23,81,72,4,Yes,4400000,92.5
W050,East,34,88,76,2,No,4700000,98.0
W051,North,15,60,55,7,No,2000000,77.5
W052,Central,26,67,59,5,No,2300000,97.0
W053,South,7,74,63,3,No,2600000,56.5
W054,West,18,81,67,8,No,2900000,76.0
W055,East,29,88,81,6,Yes,3200000,94.5
W056,North,10,60,50,4,No,3500000,75.0
W057,Central,21,67,54,2,No,3800000,94.5
W058,South,32,74,68,7,No,4100000,99.0
W059,West,13,81,72,5,No,4400000,58.5
W060,East,24,88,76,3,No,4700000,78.0
